origin,destination,carrier,planned_lead_time,current_transit_days,port_congestion_index,is_delayed,delay_days
Penang,Chicago,DHL,23,35,0.930480819579867,1,12
Shenzhen,LA,FedEx,33,38,0.6263010947738659,1,5
Penang,Chicago,FedEx,34,42,0.08395570307090161,1,8
Penang,LA,Maersk,27,41,0.8849936133950259,1,14
Shenzhen,Chicago,FedEx,34,8,0.26887484934151484,0,0
Shenzhen,Chicago,FedEx,14,6,0.24376949308272744,0,0
Penang,LA,DHL,38,16,0.2970909687803208,0,0
Taipei,Chicago,FedEx,17,39,0.5772022361259574,1,22
Penang,Rotterdam,DHL,16,10,0.5446880934339766,0,0
Penang,LA,FedEx,32,12,0.4914137546228817,0,0
Penang,Rotterdam,FedEx,13,25,0.717536863512627,1,12
Penang,LA,FedEx,27,39,0.316537731334959,1,12
Shenzhen,Chicago,Maersk,14,19,0.7820645215724311,1,5
Penang,Chicago,DHL,25,11,0.17532167837859913,0,0
Taipei,Chicago,Maersk,23,19,0.7826207890770093,0,0
Shenzhen,LA,FedEx,36,10,0.6638101052502828,0,0
Taipei,Rotterdam,Maersk,36,21,0.6832083095475865,0,0
Taipei,Rotterdam,DHL,28,8,0.48155339712726,0,0
Taipei,LA,FedEx,23,26,0.6670015326808647,1,3
Taipei,LA,Maersk,18,36,0.07979704655945741,1,18
Shenzhen,Rotterdam,Maersk,15,26,0.8515511170493673,1,11
Shenzhen,Rotterdam,DHL,26,31,0.05554723348764601,1,5
Taipei,Rotterdam,Maersk,28,19,0.14874150987149748,0,0
Taipei,Rotterdam,DHL,21,26,0.5767897084972363,1,5
Shenzhen,LA,FedEx,13,32,0.7394114554566915,1,19
Shenzhen,LA,FedEx,25,42,0.07625156434625346,1,17
Shenzhen,Chicago,Maersk,34,13,0.9207648141223198,0,0
Penang,Rotterdam,FedEx,20,38,0.9736076488006986,1,18
Penang,Chicago,FedEx,31,40,0.605950173007711,1,9
Penang,LA,Maersk,13,13,0.48124345537683655,0,0
Taipei,LA,FedEx,26,19,0.7413949722797497,0,0
Penang,Chicago,Maersk,17,24,0.3283573523272054,1,7
Taipei,Rotterdam,DHL,23,12,0.49326443410510645,0,0
Taipei,Rotterdam,DHL,36,32,0.9161510268144013,0,0
Penang,Rotterdam,DHL,11,23,0.9556554252415336,1,12
Taipei,Rotterdam,Maersk,20,20,0.927069116051185,0,0
Penang,Chicago,Maersk,20,15,0.26244806696384015,0,0
Penang,Chicago,FedEx,33,12,0.2324690402167634,0,0
Shenzhen,LA,FedEx,31,37,0.29766450592931426,1,6
Penang,Rotterdam,FedEx,33,14,0.4413111123884602,0,0
Shenzhen,Rotterdam,FedEx,15,22,0.3141674127919636,1,7
Penang,Rotterdam,FedEx,30,39,0.37421279573905797,1,9
Penang,Chicago,Maersk,30,7,0.6206369521207595,0,0
Shenzhen,Rotterdam,Maersk,23,44,0.7625256770939759,1,21
Shenzhen,Chicago,DHL,39,31,0.735558198267917,0,0
Penang,Rotterdam,DHL,19,32,0.814423567079152,1,13
Taipei,Rotterdam,DHL,35,10,0.03218440321540217,0,0
Shenzhen,LA,DHL,36,18,0.04773378967875608,0,0
